amount,fraud_flag,risk_score,timestamp,amount_category
17.4,0,0,22111.0,medium
10.0,0,0,31775.0,low
1.0,0,0,77968.0,low
11.5,0,0,79328.0,medium
9.03,0,0,133222.0,low
98.91,0,0,124788.0,high
17.21,0,0,50234.0,medium
129.98,0,0,54354.0,high
0.89,0,0,125301.0,low
15.0,0,0,27841.0,medium
2.0,0,0,83118.0,low
39.77,0,0,145037.0,medium
15.0,0,0,56887.0,medium
69.99,0,0,156091.0,high
1.0,0,0,135112.0,low
15.17,0,0,119481.0,medium
120.0,0,0,126513.0,high
1.0,0,0,49885.0,low
6.02,0,0,123664.0,low
24.35,0,0,10992.0,medium
267.0,0,0,128107.0,high
0.76,0,0,149013.0,low
200.74,0,0,34968.0,high
2.69,0,0,64425.0,low
28.54,0,0,155746.0,medium
316.0,0,0,160341.0,high
54.0,0,0,140941.0,high
154.0,0,0,140078.0,high
129.9,0,0,124654.0,high
15.48,0,0,125948.0,medium
14.12,0,0,133280.0,medium
8.9,0,0,83864.0,low
3.57,0,0,78930.0,low
15.43,0,0,56147.0,medium
90.52,0,0,38182.0,high
409.7,0,3,58519.0,high
15.0,0,0,48741.0,medium
1.98,0,0,162799.0,low
10.0,0,0,66461.0,low
8.99,0,0,65345.0,low
0.01,0,0,55404.0,low
99.0,0,0,127115.0,high
0.0,0,0,129024.0,
44.67,0,0,34188.0,medium
12.0,0,0,74419.0,medium
1.0,0,0,145293.0,low
31.9,0,0,46176.0,medium
11.05,0,0,72014.0,medium
1678.0,0,4,135713.0,very_high
1.0,0,0,77969.0,low
5.99,0,0,155212.0,low
1.0,0,0,58954.0,low
1.18,0,0,77074.0,low
16.95,0,0,71888.0,medium
179.7,0,0,159767.0,high
3.87,0,0,51674.0,low
3.58,0,0,143629.0,low
15.0,0,0,60065.0,medium
76.0,0,0,140515.0,high
33.48,0,0,77605.0,medium
60.0,0,0,54918.0,high
34.62,0,0,76225.0,medium
60.85,0,0,124187.0,high
1.98,0,0,66088.0,low
1.0,0,0,1422.0,low
18.57,0,0,84428.0,medium
0.99,0,0,30059.0,low
73.8,0,0,140898.0,high
19.99,0,0,73394.0,medium
1.0,0,0,158795.0,low
4.49,0,0,69932.0,low
144.0,0,0,55914.0,high
59.99,0,0,64893.0,high
19.36,0,0,54582.0,medium
0.79,0,0,39500.0,low
76.94,0,0,38648.0,high
59.99,0,0,117373.0,high
21.9,0,0,58316.0,medium
239.54,0,0,33041.0,high
4.9,0,0,11692.0,low
75.9,0,0,71676.0,high
12.49,0,0,82133.0,medium
44.85,0,0,133015.0,medium
116.5,0,0,135042.0,high
25.0,0,0,134508.0,medium
37.99,0,0,61485.0,medium
11.27,0,0,104564.0,medium
10.2,0,0,134962.0,medium
18.0,0,0,56312.0,medium
7.56,0,0,132340.0,low
33.0,0,0,86224.0,medium
1.79,0,0,72264.0,low
0.76,0,0,161034.0,low
19.36,0,0,63647.0,medium
7.61,0,0,57949.0,low
26.98,0,0,136340.0,medium
70.85,0,0,1757.0,high
71.96,0,0,151035.0,high
532.91,0,3,70480.0,very_high
202.95,0,0,78693.0,high
45.9,0,0,128977.0,medium
6.99,0,0,132348.0,low
241.11,0,0,17173.0,high
6.95,0,0,157965.0,low
56.88,0,0,27443.0,high
35.45,0,0,127439.0,medium
49.99,0,0,168143.0,medium
1.29,0,0,77952.0,low
38.06,0,0,79080.0,medium
5.69,0,0,148562.0,low
9.0,0,0,29537.0,low
39.82,0,0,3838.0,medium
330.21,0,0,30778.0,high
15.0,0,0,75283.0,medium
156.0,0,0,65927.0,high
31.29,0,0,123179.0,medium
19.99,0,0,170303.0,medium
47.9,0,0,124558.0,medium
53.85,0,0,66908.0,high
44.95,0,0,135983.0,medium
10.0,0,0,51584.0,low
12.31,0,0,46051.0,medium
10.93,0,0,121778.0,medium
140.0,0,0,37129.0,high
1.98,0,0,137866.0,low
608.14,0,3,39429.0,very_high
104.0,0,0,57415.0,high
18.8,0,0,878.0,medium
10.0,0,0,22105.0,low
15.8,0,0,124725.0,medium
26.55,0,0,134810.0,medium
17.99,0,0,74517.0,medium
138.65,0,0,138373.0,high
0.89,0,0,33704.0,low
1.0,0,0,152372.0,low
0.89,0,0,57085.0,low
7.68,0,0,43542.0,low
130.0,0,0,103629.0,high
55.74,0,0,125002.0,high
99.9,0,0,133425.0,high
24.99,0,0,75124.0,medium
8.93,0,0,77381.0,low
122.98,0,0,121477.0,high
58.0,0,0,135633.0,high
1.98,0,0,26476.0,low
0.9,0,0,80254.0,low
1.0,0,0,54370.0,low
14.95,0,0,10937.0,medium
14.99,0,0,129645.0,medium
71.54,0,0,74890.0,high
39.96,0,0,88619.0,medium
29.98,0,0,33169.0,medium
99.0,0,0,158027.0,high
32.75,0,0,128546.0,medium
84.99,0,0,27950.0,high
134.88,0,0,55849.0,high
66.0,0,0,136966.0,high
4.49,0,0,59731.0,low
78.0,0,0,76195.0,high
1.0,0,0,84571.0,low
11.5,0,0,62854.0,medium
1.86,0,0,61033.0,low
1.0,0,0,41579.0,low
0.76,0,0,77219.0,low
56.0,0,0,66239.0,high
16.6,0,0,83189.0,medium
34.96,0,0,65073.0,medium
78.0,0,0,48768.0,high
9.8,0,0,101694.0,low
29.74,0,0,53269.0,medium
0.93,0,0,7734.0,low
1.29,0,0,159429.0,low
2.36,0,0,121335.0,low
488.7,0,3,64128.0,high
1.56,0,0,168637.0,low
12.1,0,0,125840.0,medium
10.0,0,0,78857.0,low
86.46,0,0,124944.0,high
1.98,0,0,81808.0,low
49.4,0,0,153669.0,medium
1.22,0,0,34951.0,low
68.0,0,0,143384.0,high
59.23,0,0,171617.0,high
130.71,0,0,143711.0,high
1.29,0,0,67163.0,low
2.12,0,0,108622.0,low
39.8,0,0,41864.0,medium
34.95,0,0,45562.0,medium
27.59,0,0,76631.0,medium
314.0,0,0,40503.0,high
64.0,0,0,141713.0,high
50.0,0,0,26898.0,medium
872.0,0,3,122659.0,very_high
78.0,0,0,147862.0,high
3.03,0,0,43091.0,low
143.52,0,0,128649.0,high
0.01,0,0,153509.0,low
130.52,0,0,74662.0,high
4.99,0,0,80327.0,low
91.9,0,0,115529.0,high
1.98,0,0,24533.0,low
393.0,0,3,59808.0,high
29.58,0,0,110199.0,medium
0.23,0,0,160858.0,low
15.0,0,0,75371.0,medium
19.26,0,0,39256.0,medium
6.99,0,0,103052.0,low
54.5,0,0,57786.0,high
0.89,0,0,52329.0,low
1797.95,0,4,143574.0,very_high
3.59,0,0,10858.0,low
1.29,0,0,161811.0,low
25.5,0,0,36279.0,medium
3.3,0,0,96158.0,low
480.0,0,3,39755.0,high
48.94,0,0,122125.0,medium
1.0,0,0,162434.0,low
585.0,0,3,141351.0,very_high
54.42,0,0,39798.0,high
49.99,0,0,64293.0,medium
4.5,0,0,102533.0,low
0.76,0,0,77235.0,low
155.37,0,0,120034.0,high
83.42,0,0,70490.0,high
1.0,0,0,40979.0,low
7.92,0,0,42154.0,low
48.8,0,0,164441.0,medium
10.0,0,0,142314.0,low
16.43,0,0,146776.0,medium
9.99,0,0,134373.0,low
34.94,0,0,63375.0,medium
47.8,0,0,150695.0,medium
38.44,0,0,63864.0,medium
71.96,0,0,153894.0,high
298.95,0,0,79393.0,high
60.17,0,0,68878.0,high
1.29,0,0,162709.0,low
0.89,0,0,121703.0,low
45.57,0,0,62905.0,medium
44.84,0,0,45065.0,medium
1.0,0,0,23407.0,low
9.99,0,0,170957.0,low
6.26,0,0,129755.0,low
0.76,0,0,68738.0,low
0.79,0,0,154004.0,low
79.69,0,0,121988.0,high
21.0,0,0,76910.0,medium
90.44,0,0,80158.0,high
50.0,0,0,80833.0,medium
3.0,0,0,153807.0,low
8.99,0,0,117664.0,low
99.4,0,0,122068.0,high
27.0,0,0,62982.0,medium
9.72,0,0,165961.0,low
125.9,0,0,65097.0,high
1.79,0,0,13328.0,low
3.76,0,0,53623.0,low
14.95,0,0,33537.0,medium
11.27,0,0,107791.0,medium
142.0,0,0,128951.0,high
20.86,0,0,53255.0,medium
31.0,0,0,152153.0,medium
79.0,0,0,10325.0,high
22.99,0,0,158290.0,medium
5.0,0,0,156245.0,low
1.51,0,0,109459.0,low
1.0,0,0,114167.0,low
34.9,0,0,36759.0,medium
7.83,0,0,60197.0,low
15.0,0,0,145336.0,medium
1523.15,0,4,26769.0,very_high
120.0,0,0,81458.0,high
15.45,0,0,126362.0,medium
88.0,0,0,125952.0,high
0.99,0,0,126134.0,low
15.6,0,0,154316.0,medium
64.09,0,0,44398.0,high
1.0,0,0,84622.0,low
16.92,0,0,142093.0,medium
5.89,0,0,114925.0,low
52.9,0,0,38221.0,high
350.0,0,0,143752.0,high
102.66,0,0,160096.0,high
7.8,0,0,59300.0,low
12.99,0,0,149758.0,medium
2.98,0,0,140254.0,low
4.9,0,0,166537.0,low
1.98,0,0,74588.0,low
2.69,0,0,71882.0,low
147.9,0,0,44575.0,high
25.0,0,0,38204.0,medium
1.0,0,0,57975.0,low
0.76,0,0,62663.0,low
5.45,0,0,168191.0,low
5.41,0,0,79173.0,low
9.99,0,0,167789.0,low
150.23,0,0,30765.0,high
64.53,0,0,87565.0,high
0.76,0,0,46181.0,low
10.8,0,0,158234.0,medium
1.0,0,0,154508.0,low
255.31,0,0,90658.0,high
9.99,0,0,142171.0,low
2.5,0,0,71234.0,low
1.98,0,0,29915.0,low
94.56,0,0,138456.0,high
96.49,0,0,164261.0,high
78.54,0,0,118705.0,high
1376.46,0,4,79126.0,very_high
1.0,0,0,147429.0,low
17.17,0,0,131495.0,medium
4.85,0,0,138920.0,low
400.0,0,3,48904.0,high
1.0,0,0,157139.0,low
244.92,0,0,73024.0,high
28.56,0,0,140643.0,medium
6.88,0,0,131661.0,low
1.0,0,0,153560.0,low
6.24,0,0,132059.0,low
578.95,0,3,76100.0,very_high
63.42,0,0,57872.0,high
1.79,0,0,161633.0,low
29.7,0,0,93722.0,medium
45.0,0,0,34861.0,medium
2.49,0,0,112367.0,low
1.0,0,0,84469.0,low
1.58,0,0,53662.0,low
10.0,0,0,151604.0,low
10.0,0,0,101750.0,low
12.31,0,0,48582.0,medium
413.58,0,3,62088.0,high
228.0,0,0,39703.0,high
28.75,0,0,55237.0,medium
151.76,0,0,135753.0,high
372.0,0,3,37711.0,high
144.0,0,0,163352.0,high
17.99,0,0,115738.0,medium
0.79,0,0,73184.0,low
135.2,0,0,63002.0,high
40.0,0,0,44970.0,medium
0.99,0,0,166992.0,low
1918.5,0,4,53370.0,very_high
3.57,0,0,170279.0,low
186.26,0,0,33664.0,high
179.9,0,0,113262.0,high
12.98,0,0,68442.0,medium
12.99,0,0,79010.0,medium
5.41,0,0,85307.0,low
172.98,0,0,82196.0,high
8.67,0,0,157194.0,low
129.0,0,0,123092.0,high
0.99,0,0,41929.0,low
1.0,0,0,79342.0,low
125.0,0,0,42858.0,high
9.99,0,0,118833.0,low
0.76,0,0,76167.0,low
5.2,0,0,148940.0,low
16.0,0,0,116497.0,medium
37.87,0,0,59228.0,medium
216.35,0,0,142600.0,high
2.34,0,0,4173.0,low
10.0,0,0,162680.0,low
0.92,0,0,51279.0,low
1.0,0,0,165612.0,low
306.0,0,0,41879.0,high
830.78,0,3,39258.0,very_high
39.0,0,0,86737.0,medium
63.82,0,0,68795.0,high
1.0,0,0,46720.0,low
90.0,0,0,39896.0,high
17.05,0,0,72849.0,medium
18.99,0,0,65442.0,medium
133.25,0,0,143816.0,high
5.0,0,0,44899.0,low
4.95,0,0,160802.0,low
361.0,0,3,38280.0,high
144.0,0,0,129363.0,high
15.0,0,0,39233.0,medium
0.15,0,0,119864.0,low
5.0,0,0,132111.0,low
8.34,0,0,41891.0,low
105.0,0,0,150041.0,high
199.99,0,0,70960.0,high
0.0,0,0,58686.0,
158.81,0,0,74132.0,high
10.99,0,0,51146.0,medium
46.73,0,0,123862.0,medium
12.0,0,0,116941.0,medium
55.54,0,0,155173.0,high
4.83,0,0,34028.0,low
14.52,0,0,152383.0,medium
106.05,0,0,55640.0,high
30.89,0,0,77051.0,medium
1.0,0,0,113628.0,low
967.34,0,3,44688.0,very_high
4.99,0,0,34456.0,low
2.23,0,0,80419.0,low
32.79,0,0,127279.0,medium
7.83,0,0,150693.0,low
29.9,0,0,118248.0,medium
126.9,0,0,58610.0,high
2.58,0,0,49941.0,low
9.99,0,0,116910.0,low
35.7,0,0,72043.0,medium
397.0,0,3,121636.0,high
23.0,0,0,137140.0,medium
0.89,0,0,143603.0,low
36.49,0,0,56278.0,medium
2.66,0,0,60778.0,low
8.9,0,0,133956.0,low
18.0,0,0,694.0,medium
19.0,0,0,74047.0,medium
89.7,0,0,133975.0,high
61.71,0,0,131487.0,high
1.0,0,0,113734.0,low
483.0,0,3,160207.0,high
11.98,0,0,144045.0,medium
7.92,0,0,163605.0,low
63.25,0,0,64934.0,high
30.34,0,0,113507.0,medium
17.99,0,0,167868.0,medium
3.6,0,0,165394.0,low
5.0,0,0,57229.0,low
18.92,0,0,67664.0,medium
25.0,0,0,51470.0,medium
29.99,0,0,159338.0,medium
15.0,0,0,142251.0,medium
5.99,0,0,86613.0,low
159.08,0,0,144359.0,high
1.0,0,0,79517.0,low
474.19,0,3,53879.0,high
103.02,0,0,124721.0,high
8.99,0,0,156674.0,low
1.0,0,0,11180.0,low
1.0,0,0,42750.0,low
238.46,0,0,108334.0,high
54.9,0,0,73130.0,high
244.0,0,0,76400.0,high
2235.0,0,4,162975.0,very_high
311.28,1,0,74262.0,high
6.99,0,0,107141.0,low
39.95,0,0,40952.0,medium
1.98,0,0,132650.0,low
59.14,0,0,36348.0,high
0.0,0,0,143643.0,
28.78,0,0,76213.0,medium
1.99,0,0,163069.0,low
12.99,0,0,71427.0,medium
5.09,0,0,138339.0,low
15.0,0,0,149651.0,medium
39.66,0,0,156464.0,medium
30.44,0,0,40533.0,medium
100.0,0,0,60649.0,high
374.47,0,3,143491.0,high
0.0,0,0,58900.0,
8.76,0,0,4810.0,low
18.5,0,0,46564.0,medium
47.15,0,0,41640.0,medium
1.0,0,0,28743.0,low
39.79,0,0,86429.0,medium
2.69,0,0,162603.0,low
1.0,0,0,84324.0,low
1.98,0,0,31914.0,low
1.49,0,0,138798.0,low
8.99,0,0,74737.0,low
244.46,0,0,67974.0,high
619.0,0,3,132591.0,very_high
17.99,0,0,165282.0,medium
0.89,0,0,82530.0,low
29.99,0,0,91348.0,medium
19.53,0,0,84871.0,medium
5.49,0,0,123647.0,low
13.76,0,0,47010.0,medium
17.99,0,0,159250.0,medium
1.98,0,0,150486.0,low
49.99,0,0,166291.0,medium
14.0,0,0,71013.0,medium
66.79,0,0,138184.0,high
20.0,0,0,11370.0,medium
30.0,0,0,70683.0,medium
3.9,0,0,74169.0,low
69.0,0,0,72798.0,high
25.8,0,0,36419.0,medium
1115.47,0,4,76016.0,very_high
15.35,0,0,79689.0,medium
11.62,0,0,148028.0,medium
280.0,0,0,76516.0,high
8.03,0,0,122490.0,low
61.72,0,0,59255.0,high
39.96,0,0,43998.0,medium
0.89,0,0,170084.0,low
4.99,0,0,14647.0,low
52.16,0,0,137887.0,high
57.26,0,0,72961.0,high
8.78,0,0,101314.0,low
36.0,0,0,149919.0,medium
1.0,0,0,167724.0,low
29.21,0,0,159668.0,medium
9.99,0,0,138846.0,low
81.18,0,0,33998.0,high
1.0,0,0,113021.0,low
34.95,0,0,77128.0,medium
1.0,0,0,73374.0,low
18.81,0,0,79786.0,medium
7.7,0,0,119451.0,low
7.95,0,0,33535.0,low
1.0,0,0,91977.0,low
20.93,0,0,147162.0,medium
1.29,0,0,59970.0,low
6.47,0,0,160461.0,low
25.89,0,0,50906.0,medium
19.12,0,0,157764.0,medium
2108.19,0,4,67097.0,very_high
91.0,0,0,146319.0,high
88.72,0,0,53945.0,high
1155.54,0,4,151504.0,very_high
150.0,0,0,147918.0,high
3.99,0,0,83609.0,low
51.19,0,0,39793.0,high
2.48,0,0,143899.0,low
1.0,0,0,39871.0,low
12.31,0,0,166927.0,medium
38.7,0,0,65311.0,medium
1.98,0,0,27777.0,low
45.0,0,0,148567.0,medium
73.6,0,0,126172.0,high
29.0,0,0,37884.0,medium
18.48,0,0,142235.0,medium
20.0,0,0,58146.0,medium
46.0,0,0,152368.0,medium
52.07,0,0,154026.0,high
50.0,0,0,148957.0,medium
49.99,0,0,146904.0,medium
144.95,0,0,129459.0,high
13.61,0,0,66684.0,medium
131.19,0,0,53864.0,high
1.0,0,0,146076.0,low
1.0,0,0,52702.0,low
3.99,0,0,80245.0,low
49.95,0,0,132009.0,medium
28.13,0,0,28301.0,medium
10.74,0,0,41464.0,medium
75.0,0,0,79089.0,high
9.5,0,0,59644.0,low
4.34,0,0,140926.0,low
12.1,0,0,124886.0,medium
188.7,0,0,120064.0,high
57.31,0,0,61673.0,high
405.78,0,3,130084.0,high
16.68,0,0,62006.0,medium
84.95,0,0,129238.0,high
276.0,0,0,38099.0,high
108.23,0,0,139743.0,high
29.95,0,0,85130.0,medium
60.0,0,0,29604.0,high
0.89,0,0,162498.0,low
100.0,0,0,120659.0,high
41.76,0,0,80909.0,medium
1.0,0,0,74205.0,low
6.99,0,0,152637.0,low
99.6,0,0,158497.0,high
118.93,0,0,45269.0,high
116.0,0,0,76984.0,high
9.0,0,0,93647.0,low
89.0,0,0,50992.0,high
18.0,0,0,27224.0,medium
31.26,0,0,143227.0,medium
8.31,0,0,42178.0,low
12.99,0,0,205.0,medium
22.0,0,0,81893.0,medium
35.64,0,0,164844.0,medium
1.79,0,0,148968.0,low
134.7,0,0,605.0,high
13.16,0,0,36073.0,medium
176.99,0,0,87214.0,high
11.5,0,0,82581.0,medium
49.99,0,0,37938.0,medium
169.28,0,0,113899.0,high
1.98,0,0,131203.0,low
509.92,0,3,135918.0,very_high
40.87,0,0,43356.0,medium
131.4,0,0,64974.0,high
22.99,0,0,126308.0,medium
15.99,0,0,165625.0,medium
82.53,0,0,137748.0,high
3.17,0,0,135759.0,low
3.0,0,0,42677.0,low
9.99,0,0,135392.0,low
30.0,0,0,33567.0,medium
1.0,0,0,60047.0,low
15.72,0,0,149749.0,medium
15.0,0,0,154470.0,medium
14.99,0,0,83693.0,medium
27.11,0,0,77274.0,medium
17.97,0,0,73523.0,medium
1.98,0,0,38898.0,low
20.0,0,0,117925.0,medium
1.0,0,0,124871.0,low
100.0,0,0,148087.0,high
14.99,0,0,121079.0,medium
8.99,0,0,34758.0,low
120.4,0,0,160761.0,high
17.04,0,0,64956.0,medium
8.56,0,0,87685.0,low
100.0,0,0,150482.0,high
12.31,0,0,71555.0,medium
297.0,0,0,47314.0,high
9.99,0,0,94881.0,low
0.76,0,0,40789.0,low
156.55,0,0,139492.0,high
9.6,0,0,105186.0,low
2.5,0,0,81461.0,low
6.42,0,0,36035.0,low
94.95,0,0,41306.0,high
136.04,0,0,100369.0,high
85.8,0,0,162844.0,high
2.52,0,0,63145.0,low
300.0,0,0,132664.0,high
1.18,0,0,147313.0,low
129.95,0,0,145343.0,high
4.99,0,0,165248.0,low
53.77,0,0,166417.0,high
38.18,0,0,128836.0,medium
9.99,0,0,91283.0,low
96.61,0,0,8018.0,high
114.0,0,0,164980.0,high
10.0,0,0,40845.0,low
55.81,0,0,76939.0,high
4.8,0,0,147520.0,low
1.52,0,0,28068.0,low
294.35,0,0,152715.0,high
7.99,0,0,125644.0,low
69.16,0,0,152610.0,high
13.06,0,0,48426.0,medium
45.0,0,0,128252.0,medium
9.56,0,0,140618.0,low
85.23,0,0,74410.0,high
75.34,0,0,123093.0,high
42.83,0,0,153631.0,medium
7.61,0,0,37375.0,low
226.0,0,0,118327.0,high
1.0,0,0,48458.0,low
2.49,0,0,3726.0,low
11.27,0,0,107547.0,medium
860.17,0,3,62171.0,very_high
9.23,0,0,35067.0,low
145.56,0,0,581.0,high
31.35,0,0,129847.0,medium
28.0,0,0,42276.0,medium
29.7,0,0,133365.0,medium
4.31,0,0,32592.0,low
49.99,0,0,146969.0,medium
26.1,0,0,40146.0,medium
1.0,0,0,138119.0,low
20.24,0,0,168828.0,medium
139.0,0,0,118539.0,high
4.38,0,0,53480.0,low
211.0,0,0,59240.0,high
74.41,0,0,58734.0,high
1.29,0,0,58382.0,low
0.0,0,0,168759.0,
61.78,0,0,70947.0,high
25.0,0,0,128985.0,medium
55.25,0,0,135105.0,high
9.21,0,0,144991.0,low
25.9,0,0,79168.0,medium
55.61,0,0,38403.0,high
1.0,0,0,113631.0,low
66.96,0,0,68053.0,high
11.5,0,0,77884.0,medium
64.99,0,0,77247.0,high
40.0,0,0,79498.0,medium
11.87,0,0,74096.0,medium
51.85,0,0,139669.0,high
280.0,0,0,58770.0,high
9.98,0,0,89563.0,low
500.0,0,3,24672.0,high
149.0,0,0,82088.0,high
0.89,0,0,26153.0,low
2500.0,0,4,121023.0,very_high
1.0,0,0,79287.0,low
0.77,0,0,112408.0,low
123.96,0,0,48787.0,high
5.5,0,0,153592.0,low
65.32,0,0,145964.0,high
13.0,0,0,43792.0,medium
17.49,0,0,147546.0,medium
60.0,0,0,136425.0,high
50.14,0,0,153044.0,high
72.0,0,0,61354.0,high
1.0,0,0,79430.0,low
14.65,0,0,65270.0,medium
79.15,0,0,67246.0,high
9.95,0,0,54656.0,low
27.9,0,0,119570.0,medium
1.0,0,0,163709.0,low
109.0,0,0,37576.0,high
39.95,0,0,79985.0,medium
1.0,0,0,46937.0,low
1.99,0,0,139310.0,low
29.69,0,0,115731.0,medium
94.94,0,0,43701.0,high
209.9,0,0,167395.0,high
105.75,0,0,28843.0,high
1.78,0,0,62395.0,low
1.0,0,0,67609.0,low
20.0,0,0,128507.0,medium
64.95,0,0,70568.0,high
300.0,0,0,147769.0,high
37.83,0,0,75362.0,medium
154.46,0,0,81439.0,high
340.0,0,0,56319.0,high
155.0,0,0,129266.0,high
10.99,0,0,74233.0,medium
33.75,0,0,131950.0,medium
51.41,0,0,128250.0,high
1.98,0,0,85938.0,low
2.58,0,0,78216.0,low
0.01,0,0,9355.0,low
18.09,0,0,50579.0,medium
1.29,0,0,45278.0,low
2.2,0,0,137287.0,low
9.78,0,0,16391.0,low
1.0,0,0,67497.0,low
22.4,0,0,39258.0,medium
1.98,0,0,160826.0,low
0.85,0,0,138656.0,low
3.84,0,0,64791.0,low
100.94,0,0,35884.0,high
0.95,0,0,58978.0,low
517.2,0,3,136068.0,very_high
50.0,0,0,81704.0,medium
16.92,0,0,159558.0,medium
755.87,0,3,125369.0,very_high
23.08,0,0,90501.0,medium
44.22,0,0,123887.0,medium
99.94,0,0,141052.0,high
327.39,0,0,39657.0,high
4.37,0,0,94973.0,low
79.99,0,0,142825.0,high
1.79,0,0,56702.0,low
7.7,0,0,164563.0,low
1.0,0,0,76871.0,low
8.95,0,0,136901.0,low
14.97,0,0,39575.0,medium
45.0,0,0,128591.0,medium
100.0,0,0,121084.0,high
214.11,0,0,79982.0,high
49.74,0,0,38272.0,medium
2.99,0,0,143609.0,low
181.59,0,0,132372.0,high
3.17,0,0,84539.0,low
2.28,0,0,153385.0,low
0.89,0,0,82199.0,low
6.76,0,0,62839.0,low
163.39,0,0,52360.0,high
450.0,0,3,41755.0,high
69.7,0,0,45108.0,high
526.75,0,3,169702.0,very_high
2.28,0,0,155688.0,low
9.51,0,0,117253.0,low
0.76,0,0,47109.0,low
9.99,0,0,145010.0,low
4.21,0,0,150269.0,low
88.95,0,0,157756.0,high
1.98,0,0,169940.0,low
160.0,0,0,87365.0,high
120.61,0,0,154104.0,high
0.89,0,0,163326.0,low
0.0,0,0,63749.0,
76.9,0,0,147713.0,high
1.0,0,0,118913.0,low
4.99,0,0,132052.0,low
40.48,0,0,118651.0,medium
34.96,0,0,58081.0,medium
71.95,0,0,40690.0,high
1205.67,0,4,132221.0,very_high
96.66,0,0,125587.0,high
11.61,0,0,60040.0,medium
47.45,0,0,55866.0,medium
1.29,0,0,157824.0,low
138.0,0,0,41903.0,high
